Date,Open,Close,Prev Close,Volume
30-Nov-98,3.25,3.21,3.4,132000
01-Dec-98,3.29,3.39,3.21,123500
02-Dec-98,3.36,3.39,3.39,75500
03-Dec-98,3.44,3.39,3.39,102000
04-Dec-98,3.34,3.39,3.39,71000
07-Dec-98,3.38,3.38,3.39,26000
08-Dec-98,3.38,3.24,3.38,32500
09-Dec-98,3.29,3.24,3.24,15000
10-Dec-98,3.24,3.2,3.24,36000
11-Dec-98,3.22,3.16,3.2,37500
14-Dec-98,3.26,3.18,3.16,18500
15-Dec-98,3.2,3.15,3.18,8500
16-Dec-98,3.14,3.13,3.15,43000
17-Dec-98,3.03,3.08,3.13,14000
18-Dec-98,3.06,3,3.08,72500
21-Dec-98,3.15,3.05,3,35500
22-Dec-98,3.07,3.06,3.05,22000
23-Dec-98,3.04,3.04,3.06,20000
24-Dec-98,2.92,3,3.04,29000
28-Dec-98,3,3,3,11000
29-Dec-98,3.01,3.05,3,24000
30-Dec-98,3.13,3.41,3.05,47000
31-Dec-98,3.4,3.24,3.41,48500
01-Jan-99,3.32,3.27,3.24,337500
04-Jan-99,3.4,3.41,3.27,50000
05-Jan-99,3.36,3.2,3.41,44000
06-Jan-99,3.27,3.2,3.2,47000
07-Jan-99,3.2,3.35,3.2,104000
08-Jan-99,3.44,3.41,3.35,220000
11-Jan-99,3.6,3.51,3.41,172500
12-Jan-99,3.45,3.43,3.51,47500
13-Jan-99,3.41,3.42,3.43,25500
14-Jan-99,3.36,3.36,3.42,9000
15-Jan-99,3.4,3.19,3.36,31000
18-Jan-99,3.19,3.26,3.19,9000
19-Jan-99,3.35,3.3,3.26,7500
21-Jan-99,3.1,3.25,3.3,10500
22-Jan-99,3.3,3.26,3.25,4500
25-Jan-99,3.25,3.26,3.26,15500
27-Jan-99,3.2,3.2,3.26,5000
28-Jan-99,3.2,3.16,3.2,8500
29-Jan-99,3.2,3.03,3.16,37000
01-Feb-99,3.1,3.1,3.03,7500
02-Feb-99,3.2,3.19,3.1,34500
03-Feb-99,3.24,3.17,3.19,60500
04-Feb-99,3.2,3.1,3.17,30000
05-Feb-99,3.18,3.1,3.1,27500
08-Feb-99,3.1,3.13,3.1,9500
09-Feb-99,3,3.06,3.13,9000
10-Feb-99,3.19,3.02,3.06,13000
11-Feb-99,3.1,3.06,3.02,23000
12-Feb-99,3,3,3.06,86500
15-Feb-99,3,3,3,3500
16-Feb-99,3.11,3.01,3,4000
17-Feb-99,3.02,3.02,3.01,3000
18-Feb-99,2.95,3,3.02,55000
19-Feb-99,3.05,3,3,47500
22-Feb-99,3.1,2.99,3,3500
23-Feb-99,2.91,2.88,2.99,12500
24-Feb-99,2.82,2.9,2.88,21000
25-Feb-99,2.94,2.85,2.9,12500
26-Feb-99,2.9,2.88,2.85,13500
01-Mar-99,2.85,2.84,2.88,50000
03-Mar-99,3.04,3.51,2.84,102500
04-Mar-99,3.5,3.32,3.51,284000
