Date,Open,Close,Prev Close,Volume
02-Jul-02,12.08,12.37,13.09,702900
03-Jul-02,12.38,12.13,12.37,385765
04-Jul-02,12.23,12.07,12.13,308835
05-Jul-02,12.19,11.86,12.07,313690
08-Jul-02,11.8,12.02,11.86,735540
09-Jul-02,11.82,12.18,12.02,267095
10-Jul-02,12.2,12.22,12.18,1325750
11-Jul-02,12.19,12.09,12.22,224875
12-Jul-02,12.2,12.05,12.09,861960
15-Jul-02,12,11.68,12.05,828060
16-Jul-02,11.6,11.07,11.68,1043050
17-Jul-02,11.05,11.21,11.07,277260
18-Jul-02,11.8,11.36,11.21,186985
19-Jul-02,11.58,11.37,11.36,137715
22-Jul-02,11.1,10.44,11.37,684615
23-Jul-02,10.41,10.99,10.44,402560
24-Jul-02,10.99,10.84,10.99,386045
25-Jul-02,11.16,10.82,10.84,117270
26-Jul-02,10.65,10.59,10.82,212455
29-Jul-02,10.1,10.41,10.59,352725
30-Jul-02,10.53,10.25,10.41,504930
31-Jul-02,10,10.24,10.25,278470
01-Aug-02,10.44,10.4,10.24,196820
02-Aug-02,10.4,10.28,10.4,145470
05-Aug-02,10.1,10.69,10.28,427945
06-Aug-02,10.54,10.26,10.69,674880
07-Aug-02,10.3,10.26,10.26,155085
08-Aug-02,10.32,10.04,10.26,366015
09-Aug-02,9.96,10.24,10.04,86265
12-Aug-02,10.3,10.43,10.24,100390
13-Aug-02,10.6,10.32,10.43,49290
14-Aug-02,8.77,10.23,10.32,364250
16-Aug-02,10.37,10.35,10.23,98485
19-Aug-02,8.58,10.31,10.35,396145
20-Aug-02,10.37,10.3,10.31,47500
21-Aug-02,10.25,10.28,10.3,90605
22-Aug-02,10.2,10.16,10.28,144075
23-Aug-02,10.28,10.3,10.16,140710
26-Aug-02,10.27,10.33,10.3,108420
27-Aug-02,10.34,10.3,10.33,361795
28-Aug-02,10.36,10.31,10.3,41885
29-Aug-02,10.22,10.3,10.31,60860
30-Aug-02,10.35,10.4,10.3,189100
02-Sep-02,10.51,10.28,10.4,163990
03-Sep-02,10.4,10.01,10.28,531540
04-Sep-02,10.69,9.98,10.01,223670
05-Sep-02,10.41,9.96,9.98,81530
06-Sep-02,10.1,9.82,9.96,207450
09-Sep-02,9.78,9.68,9.82,185160
11-Sep-02,9.95,9.57,9.68,268255
12-Sep-02,9.78,9.56,9.57,430175
13-Sep-02,9.6,9.6,9.56,106450
16-Sep-02,9.8,9.5,9.6,134780
17-Sep-02,9.54,9.47,9.5,120375
18-Sep-02,9.42,9.41,9.47,237505
19-Sep-02,9.32,9.24,9.41,432160
20-Sep-02,9.2,9.3,9.24,107740
23-Sep-02,9.4,9.16,9.3,176840
24-Sep-02,10.4,8.95,9.16,575215
25-Sep-02,8.9,8.92,8.95,391945
26-Sep-02,8.97,8.91,8.92,146880
27-Sep-02,8.96,8.91,8.91,190010
30-Sep-02,8.9,8.91,8.91,237730
01-Oct-02,8.9,8.87,8.91,146955
03-Oct-02,8.95,8.85,8.87,108005
04-Oct-02,8.89,8.78,8.85,203160
07-Oct-02,9,8.82,8.78,267830
08-Oct-02,8.9,9.08,8.82,166560
09-Oct-02,9.18,9.2,9.08,132490
10-Oct-02,9.19,9.14,9.2,61645
11-Oct-02,9.12,9.15,9.14,41820
14-Oct-02,9.14,9.14,9.15,51415
16-Oct-02,9.24,9.11,9.14,72450
17-Oct-02,9.14,9.14,9.11,40355
18-Oct-02,9.2,9.21,9.14,102300
21-Oct-02,9.3,9.21,9.21,105675
22-Oct-02,9.24,9.18,9.21,76635
23-Oct-02,9.22,9.14,9.18,99275
24-Oct-02,9.2,9.05,9.14,105190
25-Oct-02,9.14,9.03,9.05,81805
28-Oct-02,9.2,9.11,9.03,472855
29-Oct-02,9.2,9.08,9.11,489980
30-Oct-02,9.2,9.07,9.08,175715
31-Oct-02,9.18,8.99,9.07,281250
01-Nov-02,10,9.03,8.99,470880
04-Nov-02,9.19,9.24,9.03,259880
05-Nov-02,9.24,9.18,9.24,189805
07-Nov-02,9.25,9.23,9.18,146505
08-Nov-02,9.2,9.21,9.23,181735
11-Nov-02,9.02,9.19,9.21,130995
12-Nov-02,9.15,9.18,9.19,58770
13-Nov-02,9.3,9.23,9.18,103270
14-Nov-02,9.2,9.22,9.23,67615
15-Nov-02,9.25,9.32,9.22,160975
18-Nov-02,9.42,9.7,9.32,330130
20-Nov-02,9.71,9.55,9.7,363425
21-Nov-02,9.68,9.6,9.55,179215
22-Nov-02,9.61,10.04,9.6,1225880
25-Nov-02,10.08,10.42,10.04,763460
26-Nov-02,10.6,10.72,10.42,1297675
27-Nov-02,10.72,11.12,10.72,6649460
28-Nov-02,11.38,11.04,11.12,1809715
29-Nov-02,10.84,11.1,11.04,1191895
02-Dec-02,11.2,11.3,11.1,1046495
03-Dec-02,11.4,11.28,11.3,1266800
04-Dec-02,11.2,11.08,11.28,747975
05-Dec-02,11.2,11.61,11.08,1593710
06-Dec-02,11.4,12.06,11.61,2124315
09-Dec-02,12,12.72,12.06,3518150
10-Dec-02,12.42,12.33,12.72,1441795
11-Dec-02,12.56,13.64,12.33,5672805
12-Dec-02,13.8,13.91,13.64,8579895
13-Dec-02,14,13.87,13.91,3468560
16-Dec-02,14.37,13.5,13.87,2475265
17-Dec-02,13.51,14.22,13.5,8894345
18-Dec-02,14.29,14.02,14.22,12087855
19-Dec-02,13.95,13.46,14.02,8728920
20-Dec-02,13.5,13.66,13.46,2945035
23-Dec-02,13.78,13.58,13.66,1530880
24-Dec-02,14,14.27,13.58,7354515
26-Dec-02,14.49,15.19,14.27,8735870
27-Dec-02,15.4,14.87,15.19,7397435
30-Dec-02,14.79,14.72,14.87,3066065
31-Dec-02,14.6,15.24,14.72,5108560
01-Jan-03,15.35,14.94,15.24,5547070
02-Jan-03,15,14.93,14.94,3981870
03-Jan-03,15.1,14.08,14.93,3826465
06-Jan-03,14.16,13.58,14.08,3322980
07-Jan-03,13.77,14.3,13.58,6822640
08-Jan-03,14.45,14.89,14.3,4394610
09-Jan-03,14.8,15.57,14.89,11490070
10-Jan-03,15.7,15.65,15.57,10274635
13-Jan-03,15.8,15.87,15.65,6758040
14-Jan-03,15.99,15.54,15.87,3085265
15-Jan-03,15.59,15.78,15.54,4402890
16-Jan-03,15.7,15.74,15.78,4000510
17-Jan-03,15.67,15.46,15.74,2736565
20-Jan-03,15.58,15.78,15.46,5201605
21-Jan-03,15.87,16.33,15.78,10212420
22-Jan-03,16.42,15.86,16.33,8801430
23-Jan-03,15.9,15.34,15.86,8737015
24-Jan-03,15.36,15.03,15.34,8666015
27-Jan-03,15,14.67,15.03,3841560
28-Jan-03,14.68,14.96,14.67,3078920
29-Jan-03,15.19,15.38,14.96,7406790
30-Jan-03,15.6,15.24,15.38,3367825
31-Jan-03,15.24,14.54,15.24,3384370
03-Feb-03,14.6,14.79,14.54,3561165
