Date,Close,Open,Prev Close,Volume
19-Nov-01,30.84,30.22,29.94,84583
20-Nov-01,30.65,31.17,30.84,76410
21-Nov-01,31.77,30.43,30.65,117666
22-Nov-01,31.98,31.98,31.77,72987
23-Nov-01,31,32.52,31.98,69159
26-Nov-01,31.65,31.5,31,17645
27-Nov-01,31.78,31.77,31.65,53280
28-Nov-01,31.83,31.67,31.78,21439
29-Nov-01,31.36,31.85,31.83,39777
03-Dec-01,31.84,31.79,31.36,60628
04-Dec-01,31.7,32,31.84,75908
05-Dec-01,33.28,31.83,31.7,125243
06-Dec-01,34.45,34,33.28,149842
07-Dec-01,36.1,34.5,34.45,253003
10-Dec-01,36.91,37.33,36.1,386644
11-Dec-01,35.53,36.92,36.91,152905
12-Dec-01,33.73,35.53,35.53,242924
13-Dec-01,35.04,33.92,33.73,378820
14-Dec-01,35.09,35.33,35.04,152401
18-Dec-01,35.82,36.33,35.09,307468
19-Dec-01,35.05,38.33,35.82,62274
20-Dec-01,34.31,34.7,35.05,59216
21-Dec-01,34.16,34.5,34.31,53323
24-Dec-01,33.5,34,34.16,33322
26-Dec-01,33.33,33.67,33.5,30772
27-Dec-01,30.55,33.33,33.33,143306
28-Dec-01,30.18,30.17,30.55,59639
31-Dec-01,31.77,30.7,30.18,56707
01-Jan-02,32.03,31.92,31.77,22704
02-Jan-02,31.39,33.17,32.03,20486
03-Jan-02,31,32.31,31.39,61670
04-Jan-02,31.03,31.67,31,82195
07-Jan-02,31.78,31.42,31.03,38624
08-Jan-02,31.95,32.42,31.78,107479
09-Jan-02,32.33,32,31.95,149570
10-Jan-02,32.52,32.5,32.33,109313
11-Jan-02,33.35,32.48,32.52,189909
14-Jan-02,35.9,33.78,33.35,146638
15-Jan-02,35.68,36.02,35.9,116436
16-Jan-02,34.98,34.5,35.68,117128
17-Jan-02,35.87,32.83,34.98,168747
18-Jan-02,36.12,36,35.87,120003
21-Jan-02,36.43,36.33,36.12,332929
22-Jan-02,36.23,36.42,36.43,125357
23-Jan-02,35.08,36.25,36.23,260861
24-Jan-02,34.75,35.73,35.08,80780
25-Jan-02,34.45,35,34.75,32419
28-Jan-02,35.78,35,34.45,80035
29-Jan-02,36.18,36,35.78,235512
30-Jan-02,35.08,35,36.18,52541
31-Jan-02,35.97,34.33,35.08,507410
01-Feb-02,38.95,36.5,35.97,1169973
04-Feb-02,40.71,39.68,38.95,1246350
05-Feb-02,43,41.28,40.71,1664764
06-Feb-02,47.3,47.3,43,12618
07-Feb-02,52.03,52.03,47.3,844637
08-Feb-02,48.17,53.67,52.03,1735501
11-Feb-02,49.43,50,48.17,905628
12-Feb-02,47.99,50,49.43,483623
13-Feb-02,49.77,47.83,47.99,1090980
14-Feb-02,50.39,50.83,49.77,1279572
15-Feb-02,51.04,50.85,50.39,1742972
18-Feb-02,50.07,51.31,51.04,739324
19-Feb-02,48.78,50.81,50.07,593928
20-Feb-02,47.17,48,48.78,672187
21-Feb-02,47.95,47.97,47.17,747726
22-Feb-02,48.91,48.18,47.95,728279
25-Feb-02,48.47,48.33,48.91,498910
26-Feb-02,51.12,49,48.47,3203901
27-Feb-02,50.29,51.65,51.12,2930771
28-Feb-02,47.32,49.67,50.29,1955773
01-Mar-02,50.47,47.5,47.32,2305918
04-Mar-02,52.21,51.83,50.47,2172152
05-Mar-02,53.72,52.05,52.21,3875723
06-Mar-02,54.69,54.33,53.72,3296620
07-Mar-02,53.98,54.97,54.69,1251113
08-Mar-02,53.2,53.67,53.98,713120
11-Mar-02,50.91,53.69,53.2,957155
12-Mar-02,50.6,50,50.91,1317745
13-Mar-02,51.25,49.67,50.6,1106607
14-Mar-02,51.87,51.67,51.25,833895
15-Mar-02,53.25,52.33,51.87,1174162
18-Mar-02,53.44,54.16,53.25,526247
19-Mar-02,51.87,53.02,53.44,457604
20-Mar-02,52.31,51.83,51.87,565365
21-Mar-02,51.6,52.25,52.31,418012
22-Mar-02,51.2,51.67,51.6,565554
26-Mar-02,52.78,50.83,51.2,943013
27-Mar-02,53.93,52.5,52.78,1173524
28-Mar-02,54.76,54.35,53.93,1466240
01-Apr-02,56.75,55.17,54.76,2762544
02-Apr-02,54.51,56.33,56.75,1161958
03-Apr-02,53.79,54.45,54.51,907025
04-Apr-02,53.85,53.33,53.79,509613
05-Apr-02,53.24,53.78,53.85,1210205
08-Apr-02,51.85,53.33,53.24,704716
09-Apr-02,52.87,52,51.85,1156796
10-Apr-02,51.84,52.5,52.87,646430
11-Apr-02,52.37,52.12,51.84,821801
12-Apr-02,52.63,52.78,52.37,557772
15-Apr-02,50.62,52.78,52.63,546262
16-Apr-02,51.53,50.83,50.62,874801
17-Apr-02,50.04,52.3,51.53,749498
18-Apr-02,49.4,55,50.04,1257392
19-Apr-02,46.82,44.64,49.4,1369854
22-Apr-02,46.32,46.62,46.82,1374618
23-Apr-02,47.4,46.38,46.32,824217
24-Apr-02,47.67,49.95,47.4,777577
25-Apr-02,46.19,47.78,47.67,767929
26-Apr-02,46.48,46.69,46.19,502678
29-Apr-02,46.91,46.67,46.48,668456
30-Apr-02,48.78,47,46.91,1212551
02-May-02,49.43,49.95,48.78,1340914
03-May-02,47.88,49.17,49.43,893016
06-May-02,48.53,48.33,47.88,776321
07-May-02,48.94,48.67,48.53,446066
08-May-02,48.54,49.17,48.94,464975
09-May-02,51.43,49.32,48.54,1914165
10-May-02,49.98,51.17,51.43,1454768
13-May-02,49.97,50.04,49.98,659187
14-May-02,50.24,50.33,49.97,840651
15-May-02,47.91,50.01,50.24,973477
16-May-02,49.21,48.33,47.91,889833
17-May-02,47.56,49.35,49.21,1975924
20-May-02,47.23,50,47.56,1771278
21-May-02,45.53,46.83,47.23,1009552
22-May-02,45.25,45.13,45.53,607687
23-May-02,45.57,46.83,45.25,1752553
24-May-02,47.08,45.85,45.57,1746307
27-May-02,44.48,45.33,47.08,1539031
28-May-02,41.84,45,44.48,1790980
29-May-02,43.33,41.18,41.84,1967912
30-May-02,41.81,42.73,43.33,1704472
31-May-02,42.78,42.33,41.81,1197338
03-Jun-02,42.99,43.43,42.78,1864727
04-Jun-02,41.38,41.18,42.99,2393133
05-Jun-02,41.06,40.97,41.38,1664293
06-Jun-02,41.41,41.67,41.06,863692
07-Jun-02,41.88,41.17,41.41,794817
10-Jun-02,42.91,42.18,41.88,720375
11-Jun-02,44.42,43.83,42.91,1062245
12-Jun-02,47.48,44.54,44.42,3217283
13-Jun-02,46.74,48.05,47.48,913098
14-Jun-02,48.48,46.68,46.74,1427362
17-Jun-02,47.64,49.33,48.48,677557
18-Jun-02,47.08,47.95,47.64,456411
19-Jun-02,46.74,47.13,47.08,628743
20-Jun-02,44.79,45.63,46.74,1005142
21-Jun-02,43.96,45.32,44.79,638675
24-Jun-02,43.74,43.85,43.96,677045
25-Jun-02,43.52,42.82,43.74,314808
26-Jun-02,43.87,43.33,43.52,513080
27-Jun-02,44.19,44.02,43.87,1149572
28-Jun-02,44.55,44.33,44.19,426024
01-Jul-02,46.16,43.67,44.55,687909
02-Jul-02,46.22,46.17,46.16,1119560
03-Jul-02,46.04,46,46.22,762447
04-Jul-02,46.41,46.17,46.04,358124
05-Jul-02,47.44,46.58,46.41,1362987
08-Jul-02,47.38,48.17,47.44,567069
09-Jul-02,47.43,47.47,47.38,273093
10-Jul-02,47.39,47.33,47.43,801579
11-Jul-02,46.76,46.87,47.39,625176
12-Jul-02,48.09,47.71,46.76,1233666
15-Jul-02,49.17,48.17,48.09,1190177
16-Jul-02,48.7,50.3,49.17,1842059
17-Jul-02,48.18,48,48.7,869866
18-Jul-02,51.55,49.17,48.18,3286022
19-Jul-02,50.03,51.23,51.55,2763252
22-Jul-02,49.07,49.28,50.03,830151
23-Jul-02,51.25,49,49.07,1184644
24-Jul-02,49.53,50.73,51.25,2237563
25-Jul-02,50.69,50.33,49.53,2171337
26-Jul-02,50.4,50.7,50.69,1411279
29-Jul-02,49.12,50.67,50.4,984384
30-Jul-02,49.51,50,49.12,1220881
31-Jul-02,48.61,48.67,49.51,1541120
01-Aug-02,48.7,48.88,48.61,977481
02-Aug-02,48.56,47.42,48.7,548098
05-Aug-02,49.1,48.33,48.56,344662
06-Aug-02,51,48.33,49.1,1245985
07-Aug-02,51.1,53.33,51,2343380
08-Aug-02,48.38,49.32,51.1,735266
09-Aug-02,48.32,48.67,48.38,986790
12-Aug-02,48.31,46.38,48.32,1917004
13-Aug-02,48.32,48.39,48.31,368102
14-Aug-02,48.56,48,48.32,658872
16-Aug-02,47.96,48.5,48.56,753175
19-Aug-02,48.71,48.67,47.96,1249449
20-Aug-02,48.33,48.83,48.71,537558
21-Aug-02,48.52,48.69,48.33,769529
22-Aug-02,48.69,48.67,48.52,891123
23-Aug-02,48.92,48.79,48.69,456782
26-Aug-02,48.12,49.12,48.92,783407
27-Aug-02,47.06,48.15,48.12,1090586
28-Aug-02,47.49,47.15,47.06,1441544
29-Aug-02,45.07,46.98,47.49,2354328
30-Aug-02,45.8,44.92,45.07,1021250
02-Sep-02,43.63,46,45.8,1483287
03-Sep-02,44.02,43.92,43.63,2353950
04-Sep-02,45.24,44.61,44.02,2572876
05-Sep-02,44.07,44.98,45.24,1349643
06-Sep-02,42.25,43.65,44.07,2397593
09-Sep-02,33.73,39.95,42.25,11820369
11-Sep-02,34.53,33.98,33.73,5375539
12-Sep-02,35.09,34.98,34.53,3712424
13-Sep-02,34.34,34.98,35.09,2084942
16-Sep-02,33.53,34.63,34.34,3428376
17-Sep-02,32.98,33.53,33.53,3356362
18-Sep-02,31.56,32.58,32.98,4530325
19-Sep-02,31.86,31.33,31.56,2991453
20-Sep-02,32.3,31.33,31.86,3533856
23-Sep-02,32.14,32.35,32.3,1224324
24-Sep-02,32.16,31.83,32.14,1545070
25-Sep-02,31.81,31.68,32.16,1684722
26-Sep-02,31.5,30,31.81,643689
27-Sep-02,31.09,31.33,31.5,2354272
30-Sep-02,28.67,30,31.09,4035785
01-Oct-02,29.27,28.42,28.67,3046905
03-Oct-02,29.68,30.17,29.27,1698321
04-Oct-02,30.35,29.33,29.68,1941804
07-Oct-02,34.68,31.83,30.35,8708415
08-Oct-02,34.73,34.83,34.68,5193215
09-Oct-02,34.73,35.5,34.73,3081193
10-Oct-02,34.17,34.83,34.73,2744823
11-Oct-02,34.13,34.67,34.17,2523969
14-Oct-02,32.51,34,34.13,2015757
16-Oct-02,30.91,32.25,32.51,3024858
17-Oct-02,31.98,31.15,30.91,2231654
18-Oct-02,32.32,32.67,31.98,2246446
21-Oct-02,32.03,32.5,32.32,831858
22-Oct-02,32.11,32.05,32.03,992371
23-Oct-02,31.96,32,32.11,684751
24-Oct-02,32.23,31.99,31.96,813582
25-Oct-02,31.5,32.26,32.23,1529301
28-Oct-02,31.43,31.67,31.5,1121092
29-Oct-02,32.13,31.83,31.43,2323273
30-Oct-02,32.46,34.17,32.13,3356235
31-Oct-02,31.55,32.32,32.46,1957620
01-Nov-02,32.3,31.78,31.55,2014854
04-Nov-02,32.28,32.98,32.3,350599
05-Nov-02,31.44,32.17,32.28,1814386
07-Nov-02,30.73,31.15,31.44,892858
08-Nov-02,31.29,30.21,30.73,1163776
11-Nov-02,31.46,31,31.29,910701
12-Nov-02,30.78,31.5,31.46,992963
13-Nov-02,30.83,31.33,30.78,840792
14-Nov-02,30.89,31.32,30.83,1338022
15-Nov-02,30.94,31,30.89,658388
18-Nov-02,31.01,31.19,30.94,1176175
20-Nov-02,30.85,30.48,31.01,1995049
21-Nov-02,30.98,30.87,30.85,1022607
22-Nov-02,30.78,31,30.98,616616
25-Nov-02,30.87,31.09,30.78,977530
26-Nov-02,31.2,31.08,30.87,1646834
27-Nov-02,31.16,31.34,31.2,1784782
28-Nov-02,31.36,31.42,31.16,2584094
29-Nov-02,31.78,31.5,31.36,1523574
02-Dec-02,33.44,32.17,31.78,5093079
03-Dec-02,32.43,33.78,33.44,3207367
04-Dec-02,32.9,32.33,32.43,1991844
05-Dec-02,32.51,32.9,32.9,2961203
06-Dec-02,36.09,36.5,32.51,8973710
09-Dec-02,34.46,37.33,36.09,12140424
10-Dec-02,33.35,33.48,34.46,4778662
11-Dec-02,34.35,34.07,33.35,4933333
12-Dec-02,35.83,34.83,34.35,4894077
13-Dec-02,36.53,36.26,35.83,2821332
16-Dec-02,35.54,37.33,36.53,4343428
17-Dec-02,35.12,35.52,35.54,2580260
18-Dec-02,34.93,35.01,35.12,1310555
19-Dec-02,35.49,34.75,34.93,2206480
20-Dec-02,35.11,35.34,35.49,843600
23-Dec-02,35.19,35.15,35.11,831090
24-Dec-02,35.25,35.42,35.19,707651
26-Dec-02,35.68,35.82,35.25,3574673
27-Dec-02,36.47,36.08,35.68,4374065
30-Dec-02,35.46,34.58,36.47,2809122
31-Dec-02,36.11,35.67,35.46,2425286
01-Jan-03,37.42,36.24,36.11,3513493
02-Jan-03,38.6,38,37.42,12355904
03-Jan-03,38.5,38.67,38.6,7452343
06-Jan-03,37.77,38.53,38.5,3296458
07-Jan-03,38.1,37.78,37.77,4088986
08-Jan-03,38.63,38.32,38.1,2040512
09-Jan-03,38.95,38.83,38.63,2445115
10-Jan-03,38.36,39.18,38.95,1743999
13-Jan-03,37.63,37.96,38.36,1036523
14-Jan-03,37.39,37.82,37.63,1173859
15-Jan-03,37.61,37.57,37.39,926781
16-Jan-03,37.98,37.9,37.61,2043503
17-Jan-03,37.98,38.33,37.98,1649531
20-Jan-03,37.76,38.08,37.98,1559262
21-Jan-03,37.08,38.49,37.76,2722063
22-Jan-03,36.83,37.18,37.08,872010
23-Jan-03,36.33,37,36.83,634060
24-Jan-03,35.74,36.64,36.33,1618015
27-Jan-03,33.48,38.33,35.74,3196870
28-Jan-03,32.44,33.35,33.48,3252484
29-Jan-03,32.46,32.83,32.44,1720197
30-Jan-03,32.01,32.5,32.46,1975708
31-Jan-03,32,31.92,32.01,1395996
03-Feb-03,32.63,32.33,32,550791
04-Feb-03,32.68,32.79,32.63,951567
05-Feb-03,33.28,32.5,32.68,1804741
06-Feb-03,33.43,33.29,33.28,1021512
07-Feb-03,33.88,33.66,33.43,2021322
10-Feb-03,33.96,34.17,33.88,1409922
11-Feb-03,34.6,34.08,33.96,1569995
12-Feb-03,34.86,34.68,34.6,1640894
14-Feb-03,34.38,34.91,34.86,734474
17-Feb-03,35.55,35.07,34.38,1972610
18-Feb-03,36.35,35.8,35.55,2003885
19-Feb-03,36.13,36.55,36.35,1934286
20-Feb-03,36.98,35.98,36.13,3636015
21-Feb-03,37.14,37.04,36.98,1430637
24-Feb-03,36.99,37.33,37.14,801180
25-Feb-03,36.74,36.99,36.99,677046
26-Feb-03,35.63,36.67,36.74,1565316
27-Feb-03,36.86,35.55,35.63,1499547
28-Feb-03,37.3,37.33,36.86,1535649
03-Mar-03,37.45,37.67,37.3,939268
04-Mar-03,37.55,37.42,37.45,675182
05-Mar-03,36.86,37.02,37.55,1220325
06-Mar-03,36.45,37.04,36.86,909313
07-Mar-03,35.85,36.1,36.45,912650
10-Mar-03,34.78,35.82,35.85,1031454
11-Mar-03,35.56,34.33,34.78,610594
12-Mar-03,35.71,35.49,35.56,566543
13-Mar-03,34.86,35.5,35.71,993248
17-Mar-03,34.9,34.93,34.86,935416
19-Mar-03,35.99,35.33,34.9,1059068
20-Mar-03,37.4,36.04,35.99,1216464
21-Mar-03,37.46,37.32,37.4,571361
22-Mar-03,37.37,37.67,37.46,297790
24-Mar-03,36.08,37.21,37.37,463590
25-Mar-03,37.23,35.02,36.08,1215958
26-Mar-03,37.47,37.3,37.23,624656
27-Mar-03,37.46,37.33,37.47,978277
28-Mar-03,37.45,37.5,37.46,531357
31-Mar-03,36.99,37.02,37.45,563321
01-Apr-03,37.67,36.71,36.99,519999
02-Apr-03,37.66,38.17,37.67,480112
03-Apr-03,37.83,39.17,37.66,545474
04-Apr-03,38.64,37.98,37.83,907282
07-Apr-03,39.02,38.83,38.64,673678
08-Apr-03,39.28,39,39.02,753078
09-Apr-03,38.54,39.28,39.28,347301
10-Apr-03,38.73,38.35,38.54,536056
11-Apr-03,39.23,38.83,38.73,585207
15-Apr-03,38.08,37.83,39.23,359782
16-Apr-03,37.83,37.68,38.08,444532
17-Apr-03,38.5,37.37,37.83,570927
21-Apr-03,39.12,38.77,38.5,376990
22-Apr-03,38.83,39.17,39.12,159738
23-Apr-03,38.77,39,38.83,173352
24-Apr-03,38.73,38.83,38.77,610804
25-Apr-03,37.93,38,38.73,593923
28-Apr-03,38.3,37.92,37.93,375635
29-Apr-03,38.11,39,38.3,293756
30-Apr-03,38.51,37.68,38.11,402356
02-May-03,38.66,38.68,38.51,418445
05-May-03,39.13,39.3,38.66,482015
06-May-03,41.02,39.65,39.13,1254013
07-May-03,41.75,41,41.02,1540260
08-May-03,40.96,41.21,41.75,956898
09-May-03,40.37,40.44,40.96,621525
12-May-03,41.41,40.67,40.37,832103
13-May-03,40.98,41.42,41.41,393506
14-May-03,39.26,41.04,40.98,1136076
15-May-03,40.12,39.5,39.26,685801
16-May-03,40.34,40.18,40.12,404212
19-May-03,39.24,39.67,40.34,408786
20-May-03,39.73,38.83,39.24,1286523
21-May-03,40.1,39.75,39.73,522617
22-May-03,40.55,40.53,40.1,850379
23-May-03,41.9,41.17,40.55,1116539
26-May-03,42.5,42.48,41.9,1023816
27-May-03,41.62,42.75,42.5,393312
28-May-03,41.5,41.92,41.62,826340
29-May-03,42.34,41.83,41.5,1247736
30-May-03,44.57,43.5,42.34,3093212
02-Jun-03,44.37,45.25,44.57,820988
03-Jun-03,44.18,44.24,44.37,740860
04-Jun-03,44.33,44.59,44.18,1173428
05-Jun-03,43.91,44.38,44.33,910048
06-Jun-03,44.13,44.32,43.91,701788
09-Jun-03,44.54,44.66,44.13,730011
10-Jun-03,44.11,44.18,44.54,956629
11-Jun-03,43.25,44.75,44.11,1265629
12-Jun-03,43,43.42,43.25,1025671
13-Jun-03,43.06,43.48,43,2081469
16-Jun-03,43.03,43.38,43.06,1363276
17-Jun-03,44.09,43.32,43.03,2314148
18-Jun-03,44.54,44.73,44.09,2020246
19-Jun-03,45.21,44.79,44.54,1879493
20-Jun-03,46.4,45.33,45.21,2706078
23-Jun-03,46.42,46.83,46.4,2210145
24-Jun-03,46.6,46.32,46.42,988127
25-Jun-03,47.92,46.67,46.6,2186896
26-Jun-03,48.73,48.31,47.92,3785493
27-Jun-03,48.4,48.67,48.73,1896686
30-Jun-03,47.38,48.67,48.4,1313898
01-Jul-03,46.94,47.65,47.38,1211336
02-Jul-03,47.07,47.18,46.94,1034919
03-Jul-03,47.17,47.48,47.07,1624238
04-Jul-03,48.48,47.47,47.17,2246988
07-Jul-03,49.25,51.13,48.48,3200821
08-Jul-03,48.93,49.48,49.25,1198421
09-Jul-03,48.78,48.92,48.93,1316287
10-Jul-03,49.04,48.87,48.78,934104
11-Jul-03,49.3,48.58,49.04,2133972
14-Jul-03,49.33,49.58,49.3,1167303
15-Jul-03,49.16,49.65,49.33,1680088
16-Jul-03,46.48,47,49.16,2014620
17-Jul-03,44.88,46.32,46.48,1990421
18-Jul-03,43.19,44,44.88,1753362
21-Jul-03,41.74,43.5,43.19,1532056
22-Jul-03,42.36,40.03,41.74,1417595
23-Jul-03,42.98,42.63,42.36,976423
24-Jul-03,44.11,43.33,42.98,1926313
25-Jul-03,44.76,44.33,44.11,1124932
28-Jul-03,44.29,44.17,44.76,948302
29-Jul-03,43.73,44.19,44.29,893832
30-Jul-03,44.46,44.17,43.73,813010
31-Jul-03,43.98,44.68,44.46,1417410
01-Aug-03,45.61,44.78,43.98,1219968
04-Aug-03,45.98,45.5,45.61,698788
05-Aug-03,45.01,46.57,45.98,546782
06-Aug-03,43.78,45,45.01,1381350
07-Aug-03,46.09,44.07,43.78,1614011
08-Aug-03,47.21,46.67,46.09,1537191
11-Aug-03,47.49,47.33,47.21,1148017
12-Aug-03,46.75,47.58,47.49,863734
13-Aug-03,47.73,47.18,46.75,1363671
14-Aug-03,47.91,48,47.73,1334729
18-Aug-03,47.78,48.32,47.91,639273
19-Aug-03,48.28,48.17,47.78,1340652
20-Aug-03,48.87,48.82,48.28,809769
21-Aug-03,49.98,49.17,48.87,1443232
22-Aug-03,52.05,50.55,49.98,3111511
25-Aug-03,50.01,52.67,52.05,2776211
