Date,Open,Close,Prev Close,Volume
03-Apr-97,20.15626,19.96876,18.37501,61866
04-Apr-97,21.00001,21.290634,19.96876,176533
07-Apr-97,21.309385,20.775009,21.290634,87999
09-Apr-97,22.687511,22.846886,20.775009,243733
10-Apr-97,22.687511,22.818762,22.846886,220799
11-Apr-97,22.312511,22.350012,22.818762,125866
15-Apr-97,22.875011,21.796885,22.350012,177599
17-Apr-97,22.556261,22.85626,21.796885,404799
21-Apr-97,23.437511,22.921886,22.85626,33066
22-Apr-97,22.968761,22.162512,22.921886,68266
23-Apr-97,23.100012,22.687511,22.162512,244266
24-Apr-97,21.84376,24.506262,22.687511,300799
25-Apr-97,24.890636,26.259388,24.506262,330133
28-Apr-97,26.250013,27.384388,26.259388,1002666
29-Apr-97,27.478138,27.206263,27.384388,221866
30-Apr-97,29.062513,28.593763,27.206263,576533
02-May-97,28.32189,27.675013,28.593763,297066
05-May-97,26.250013,26.962513,27.675013,109866
06-May-97,27.000013,25.143763,26.962513,920532
07-May-97,25.875011,27.665638,25.143763,950932
08-May-97,28.087515,27.796888,27.665638,593599
09-May-97,28.078138,27.834389,27.796888,97599
12-May-97,27.375013,26.821888,27.834389,169599
13-May-97,26.362513,26.615639,26.821888,341333
14-May-97,27.750013,27.721888,26.615639,363199
15-May-97,27.918762,28.078138,27.721888,299733
16-May-97,28.115639,27.900013,28.078138,123733
19-May-97,28.125013,27.946888,27.900013,177599
20-May-97,27.965637,26.981262,27.946888,263999
21-May-97,27.562513,27.178139,26.981262,91199
22-May-97,27.356262,26.962513,27.178139,13333
23-May-97,26.990639,26.728138,26.962513,51199
26-May-97,26.484388,25.228136,26.728138,137599
27-May-97,24.815638,24.581263,25.228136,136533
28-May-97,25.500011,26.400013,24.581263,398933
29-May-97,25.884386,27.178139,26.400013,822932
30-May-97,27.337513,28.959389,27.178139,421866
02-Jun-97,28.875013,28.950014,28.959389,281599
03-Jun-97,29.062513,29.587515,28.950014,1068799
04-Jun-97,29.812513,30.356264,29.587515,969066
05-Jun-97,30.937515,32.615643,30.356264,700799
06-Jun-97,32.437515,33.843765,32.615643,963732
09-Jun-97,34.200016,32.850018,33.843765,269333
10-Jun-97,32.728142,33.337517,32.850018,241066
11-Jun-97,34.106266,34.284393,33.337517,809599
12-Jun-97,34.54689,34.500015,34.284393,83199
13-Jun-97,34.781265,34.012516,34.500015,267733
16-Jun-97,33.712517,32.418766,34.012516,31999
17-Jun-97,31.500015,30.168764,32.418766,230933
18-Jun-97,32.718765,31.07814,30.168764,82133
19-Jun-97,31.312515,31.115641,31.07814,60799
20-Jun-97,30.937515,30.843765,31.115641,18133
23-Jun-97,30.750015,31.60314,30.843765,98666
24-Jun-97,31.875015,31.471889,31.60314,92266
25-Jun-97,32.625015,33.271893,31.471889,156799
26-Jun-97,33.750015,33.600018,33.271893,121066
27-Jun-97,33.937515,34.153141,33.600018,1076266
30-Jun-97,33.843765,33.187515,34.153141,25599
01-Jul-97,33.375015,32.662518,33.187515,101333
02-Jul-97,33.000015,33.768764,32.662518,126399
03-Jul-97,34.106266,33.178143,33.768764,27199
04-Jul-97,32.915642,31.153139,33.178143,703466
07-Jul-97,30.375015,28.068764,31.153139,348799
08-Jul-97,26.437513,26.812513,28.068764,478399
09-Jul-97,27.375013,29.184389,26.812513,483199
10-Jul-97,29.803139,27.853138,29.184389,176533
11-Jul-97,28.115639,28.115639,27.853138,583999
14-Jul-97,27.750013,26.690638,28.115639,63999
15-Jul-97,26.250013,26.184387,26.690638,741866
16-Jul-97,27.000013,26.287514,26.184387,102399
17-Jul-97,26.250013,25.518763,26.287514,819199
21-Jul-97,24.750011,24.787512,25.518763,168533
22-Jul-97,25.284388,24.993761,24.787512,64533
23-Jul-97,25.875011,27.121887,24.993761,149866
24-Jul-97,27.750013,27.103138,27.121887,113066
25-Jul-97,26.578138,27.028137,27.103138,61866
28-Jul-97,26.859388,27.037514,27.028137,39999
29-Jul-97,26.981262,27.187513,27.037514,54933
30-Jul-97,27.187513,27.300013,27.187513,61866
31-Jul-97,27.187513,27.862513,27.300013,40533
01-Aug-97,28.143764,28.593763,27.862513,62399
04-Aug-97,29.578138,28.50939,28.593763,335466
05-Aug-97,28.312513,29.250013,28.50939,100799
06-Aug-97,29.803139,30.38439,29.250013,114666
07-Aug-97,30.937515,32.737514,30.38439,540266
08-Aug-97,32.625015,32.681267,32.737514,121066
11-Aug-97,32.812515,31.22814,32.681267,126933
12-Aug-97,32.250015,33.693768,31.22814,557866
13-Aug-97,35.615643,34.678143,33.693768,451733
14-Aug-97,34.790642,34.659393,34.678143,141866
18-Aug-97,34.35939,33.750015,34.659393,159999
19-Aug-97,33.843765,33.70314,33.750015,124266
20-Aug-97,33.70314,33.759392,33.70314,161066
21-Aug-97,33.956264,33.562515,33.759392,99733
22-Aug-97,33.750015,32.175014,33.562515,238933
25-Aug-97,31.950014,30.740641,32.175014,173333
26-Aug-97,31.968765,30.778139,30.740641,423466
27-Aug-97,31.26564,29.718763,30.778139,273066
28-Aug-97,29.803139,26.868763,29.718763,493866
29-Aug-97,28.612514,25.490637,26.868763,1151466
01-Sep-97,25.968761,24.225012,25.490637,620266
02-Sep-97,25.125011,26.643763,24.225012,562666
03-Sep-97,27.187513,26.962513,26.643763,363199
04-Sep-97,26.718763,29.231264,26.962513,1062932
05-Sep-97,29.587515,32.062515,29.231264,1371732
08-Sep-97,31.518764,32.165642,32.062515,1200532
09-Sep-97,32.531265,31.41564,32.165642,988266
10-Sep-97,30.993765,30.600016,31.41564,675732
11-Sep-97,30.206264,30.918764,30.600016,637333
12-Sep-97,30.42189,29.850014,30.918764,408533
15-Sep-97,29.625013,27.768763,29.850014,619199
16-Sep-97,26.484388,27.215637,27.768763,1230399
17-Sep-97,29.090639,29.128139,27.215637,117333
18-Sep-97,29.128139,28.059389,29.128139,2631465
19-Sep-97,28.396889,29.16564,28.059389,1612799
22-Sep-97,29.296888,28.537514,29.16564,481066
23-Sep-97,28.406263,28.13439,28.537514,717866
24-Sep-97,28.828138,29.362514,28.13439,421866
25-Sep-97,29.250013,29.568764,29.362514,147199
26-Sep-97,29.606264,29.390638,29.568764,92266
29-Sep-97,29.718763,30.225016,29.390638,236266
30-Sep-97,30.187515,29.859388,30.225016,146666
01-Oct-97,29.831264,29.91564,29.859388,305066
09-Oct-97,29.737514,28.931265,29.91564,160533
