Date,Open,Close,Prev Close,Volume
01-Jan-96,3.03,2.98,,350000
02-Jan-96,2.98,2.975,2.98,412000
03-Jan-96,2.975,2.985,2.975,284000
04-Jan-96,2.985,2.965,2.985,282000
05-Jan-96,2.965,2.96,2.965,189000
08-Jan-96,2.96,2.925,2.96,237000
09-Jan-96,2.925,2.83,2.925,483000
10-Jan-96,2.83,2.84,2.83,226000
11-Jan-96,2.84,2.83,2.84,318000
12-Jan-96,2.83,2.825,2.83,431000
15-Jan-96,2.825,2.79,2.825,181000
16-Jan-96,2.79,2.74,2.79,358000
17-Jan-96,2.74,2.655,2.74,429000
18-Jan-96,2.655,2.64,2.655,330000
19-Jan-96,2.64,2.555,2.64,426000
22-Jan-96,2.555,2.545,2.555,359000
23-Jan-96,2.545,2.53,2.545,399000
24-Jan-96,2.53,2.465,2.53,449000
25-Jan-96,2.465,2.435,2.465,390000
29-Jan-96,2.435,2.485,2.435,311000
30-Jan-96,2.485,2.52,2.485,452000
31-Jan-96,2.52,2.59,2.52,344000
01-Feb-96,2.59,2.78,2.59,424000
02-Feb-96,2.78,2.915,2.78,819000
05-Feb-96,2.915,2.995,2.915,906000
06-Feb-96,2.995,2.975,2.995,888000
07-Feb-96,2.975,2.865,2.975,586000
08-Feb-96,2.865,3.045,2.865,667000
09-Feb-96,3.045,3.65,3.045,1720000
12-Feb-96,3.65,3.51,3.65,2851000
13-Feb-96,3.6,3.45,3.51,1451000
14-Feb-96,3.45,3.71,3.45,2464000
15-Feb-96,3.71,3.685,3.71,1191000
16-Feb-96,3.685,3.56,3.685,1396000
19-Feb-96,3.56,3.515,3.56,1297000
20-Feb-96,3.515,3.365,3.515,1361000
22-Feb-96,3.365,3.425,3.365,848000
23-Feb-96,3.425,3.42,3.425,687000
26-Feb-96,3.42,3.385,3.42,647000
27-Feb-96,3.39,3.395,3.385,841000
28-Feb-96,3.395,3.325,3.395,422000
29-Feb-96,3.3,3.065,3.325,1275000
01-Mar-96,3.065,3.11,3.065,732000
04-Mar-96,3.11,3.065,3.11,647000
06-Mar-96,3.065,3.1,3.065,360000
07-Mar-96,3.1,3.06,3.1,486000
08-Mar-96,3.06,3.05,3.06,387000
11-Mar-96,3.05,2.995,3.05,324000
12-Mar-96,2.995,2.955,2.995,400000
13-Mar-96,2.955,3.08,2.955,486000
14-Mar-96,3.08,3.07,3.08,529000
15-Mar-96,3.1,3,3.07,807000
18-Mar-96,3,2.985,3,388000
19-Mar-96,2.985,2.955,2.985,617000
21-Mar-96,2.955,3.005,2.955,643000
22-Mar-96,3.005,2.995,3.005,194000
25-Mar-96,2.995,3.025,2.995,413000
26-Mar-96,3.025,3.045,3.025,643000
27-Mar-96,3.045,3.1,3.045,795000
28-Mar-96,3.1,3.21,3.1,1124000
29-Mar-96,3.21,3.245,3.21,1356000
01-Apr-96,3.245,3.29,3.245,963000
02-Apr-96,3.29,3.4,3.29,1835000
03-Apr-96,3.4,3.49,3.4,2082000
04-Apr-96,3.49,3.405,3.49,1134000
08-Apr-96,3.405,3.45,3.405,925000
09-Apr-96,3.45,3.385,3.45,1219000
10-Apr-96,3.385,3.285,3.385,904000
11-Apr-96,3.25,3.335,3.285,631000
12-Apr-96,3.335,3.35,3.335,564000
15-Apr-96,3.41,3.425,3.35,988000
16-Apr-96,3.42,3.375,3.425,783000
17-Apr-96,3.375,3.505,3.375,1546000
18-Apr-96,3.55,3.655,3.505,2706000
19-Apr-96,3.7,3.845,3.655,6350000
22-Apr-96,4,3.77,3.845,5643000
23-Apr-96,3.77,3.71,3.77,3214000
24-Apr-96,3.895,3.845,3.71,5343000
25-Apr-96,3.9,3.685,3.845,3333000
26-Apr-96,3.685,3.7,3.685,2039000
29-Apr-96,3.7,3.685,3.7,1350000
30-Apr-96,3.685,3.545,3.685,2701000
01-May-96,3.545,3.625,3.545,1662000
02-May-96,3.68,3.565,3.625,1170000
03-May-96,3.565,3.5,3.565,1779000
06-May-96,3.5,3.38,3.5,1360000
07-May-96,3.38,3.415,3.38,1821000
08-May-96,3.2,3.485,3.415,1617000
09-May-96,3.485,3.405,3.485,1115000
10-May-96,3.405,3.385,3.405,1371000
13-May-96,3.385,3.42,3.385,712000
14-May-96,3.485,3.425,3.42,1192000
15-May-96,3.425,3.48,3.425,1608000
16-May-96,3.48,3.575,3.48,2671000
17-May-96,3.55,3.53,3.575,1385000
20-May-96,3.475,3.405,3.53,933000
21-May-96,3.4,3.335,3.405,1644000
22-May-96,3.335,3.375,3.335,645000
23-May-96,3.4,3.35,3.375,361000
24-May-96,3.35,3.385,3.35,473000
27-May-96,3.385,3.34,3.385,1362000
28-May-96,3.34,3.39,3.34,1390000
29-May-96,3.39,3.445,3.39,1314000
30-May-96,3.5,3.41,3.445,804000
31-May-96,3.41,3.415,3.41,486000
03-Jun-96,3.415,3.45,3.415,766000
04-Jun-96,3.45,3.4,3.45,1698000
05-Jun-96,3.4,3.405,3.4,437000
06-Jun-96,3.445,3.435,3.405,622000
07-Jun-96,3.42,3.435,3.435,405000
10-Jun-96,3.465,3.44,3.435,860000
11-Jun-96,3.47,3.43,3.44,1054000
12-Jun-96,3.45,3.51,3.43,1657000
13-Jun-96,3.51,3.875,3.51,7320000
14-Jun-96,3.925,4.045,3.875,9036000
17-Jun-96,4.05,3.87,4.045,6812000
18-Jun-96,3.85,3.83,3.87,4708000
19-Jun-96,3.935,3.8,3.83,3422000
20-Jun-96,3.75,3.765,3.8,2981000
21-Jun-96,3.7,3.68,3.765,2364000
24-Jun-96,3.71,3.66,3.68,1931000
25-Jun-96,3.675,3.64,3.66,4000000
26-Jun-96,3.85,3.915,3.64,14061000
27-Jun-96,3.91,3.93,3.915,7982000
28-Jun-96,3.96,3.99,3.93,14959000
01-Jul-96,4.01,3.905,3.99,11334000
02-Jul-96,3.925,3.895,3.905,6039000
03-Jul-96,3.875,3.855,3.895,7855000
04-Jul-96,3.83,3.86,3.855,9477000
05-Jul-96,3.855,3.855,3.86,3069000
08-Jul-96,3.93,3.875,3.855,1927000
09-Jul-96,3.875,3.835,3.875,3414000
10-Jul-96,3.81,3.83,3.835,3917000
11-Jul-96,3.825,3.83,3.83,1296000
12-Jul-96,3.815,3.82,3.83,1200000
15-Jul-96,3.81,3.83,3.82,2558000
16-Jul-96,3.825,3.805,3.83,3377000
17-Jul-96,3.795,3.77,3.805,5582000
18-Jul-96,3.75,3.74,3.77,2085000
19-Jul-96,3.75,3.76,3.74,2348000
22-Jul-96,3.825,3.75,3.76,863000
23-Jul-96,3.755,3.68,3.75,3695000
24-Jul-96,3.66,3.62,3.68,6060000
25-Jul-96,3.6,3.61,3.62,2542000
