Date,Open,Close,Prev Close,Volume
02-Jan-96,5.466666,5.372222,5.583333,7470000
03-Jan-96,5.133333,5.2,5.372222,15160500
04-Jan-96,5.2,5.297777,5.2,12397500
05-Jan-96,5.297777,5.202222,5.297777,5008500
08-Jan-96,5.202222,5.042222,5.202222,12645000
09-Jan-96,5.042222,5.028888,5.042222,8968500
10-Jan-96,5.028888,5.012222,5.028888,2988000
11-Jan-96,5.012222,5.038888,5.012222,2227500
12-Jan-96,5.038888,5.088888,5.038888,4806000
15-Jan-96,5.088888,5.034444,5.088888,2020500
16-Jan-96,5.034444,5.018888,5.034444,3082500
17-Jan-96,5.018888,5.017777,5.018888,3078000
18-Jan-96,5.017777,4.955555,5.017777,5148000
19-Jan-96,4.955555,4.741111,4.955555,16128000
22-Jan-96,4.741111,4.707777,4.741111,3946500
23-Jan-96,4.707777,4.416666,4.707777,7947000
24-Jan-96,4.416666,4.225555,4.416666,15763500
25-Jan-96,4.225555,4.182222,4.225555,8140500
29-Jan-96,4.182222,4.416666,4.182222,9639000
30-Jan-96,4.416666,4.692222,4.416666,15669000
31-Jan-96,4.692222,4.516666,4.692222,9598500
01-Feb-96,4.516666,4.797777,4.516666,12573000
02-Feb-96,4.887777,5.347777,4.797777,28179000
05-Feb-96,5.347777,5.621111,5.347777,18873000
06-Feb-96,5.733333,5.567777,5.621111,14112000
07-Feb-96,5.488888,5.485555,5.567777,13968000
08-Feb-96,5.555555,6.062222,5.485555,21955500
09-Feb-96,6.062222,6.262222,6.062222,12181500
12-Feb-96,6.344444,6.065555,6.262222,14436000
13-Feb-96,6.065555,6.21,6.065555,11718000
14-Feb-96,6.311111,6.403333,6.21,9598500
15-Feb-96,6.403333,6.466666,6.403333,16924500
16-Feb-96,6.311111,6.274444,6.466666,12861000
19-Feb-96,6.275555,6.272222,6.274444,5913000
20-Feb-96,6.333333,5.996666,6.272222,9823500
22-Feb-96,5.996666,6.143333,5.996666,3231000
23-Feb-96,6.143333,6.064444,6.143333,3168000
26-Feb-96,6.064444,6.078888,6.064444,4230000
