Date,Open,Close,Prev Close,Volume
03-Jul-01,2.475,2.4,2.4025,77520
04-Jul-01,2.425,2.42,2.4,49360
05-Jul-01,2.45,2.415,2.42,62700
06-Jul-01,2.425,2.4,2.415,117800
09-Jul-01,2.375,2.38,2.4,142180
10-Jul-01,2.3525,2.34,2.38,94600
11-Jul-01,2.475,2.3,2.34,77780
12-Jul-01,2.325,2.3,2.3,35400
13-Jul-01,2.3,2.25,2.3,80000
16-Jul-01,2.25,2.225,2.25,41900
17-Jul-01,2.2,2.2575,2.225,89780
18-Jul-01,2.25,2.245,2.2575,60800
19-Jul-01,2.235,2.2275,2.245,69100
20-Jul-01,2.2,2.18,2.2275,57060
23-Jul-01,2.0825,2.2,2.18,2100
24-Jul-01,1.775,1.9975,2.2,94120
25-Jul-01,1.9875,2.0825,1.9975,144780
26-Jul-01,2.1,2.1,2.0825,74480
27-Jul-01,2.0975,2.115,2.1,94060
30-Jul-01,2.005,2.0725,2.115,67840
31-Jul-01,2.0525,2.1,2.0725,55520
01-Aug-01,2.1025,2.1225,2.1,89700
02-Aug-01,2.105,2.11,2.1225,37340
03-Aug-01,2.15,2.1525,2.11,93360
06-Aug-01,2.15,2.15,2.1525,2022020
07-Aug-01,2.15,2.14,2.15,126520
08-Aug-01,2.155,2.16,2.14,55400
09-Aug-01,2.15,2.165,2.16,38960
10-Aug-01,2.1575,2.15,2.165,27680
13-Aug-01,2.2,2.15,2.15,21700
14-Aug-01,2.175,2.15,2.15,78620
16-Aug-01,2.15,2.155,2.15,84280
17-Aug-01,2.15,2.15,2.155,79700
20-Aug-01,2.15,2.15,2.15,15700
21-Aug-01,2.15,2.15,2.15,34900
23-Aug-01,2.145,2.15,2.15,64100
24-Aug-01,2.15,2.15,2.15,56960
27-Aug-01,2.15,2.1625,2.15,55880
28-Aug-01,2.15,2.1525,2.1625,51600
29-Aug-01,2.175,2.1525,2.1525,26620
30-Aug-01,2.15,2.15,2.1525,20160
31-Aug-01,2.15,2.155,2.15,72440
03-Sep-01,2.1925,2.1575,2.155,70200
04-Sep-01,2.2725,2.15,2.1575,21020
05-Sep-01,2.15,2.15,2.15,49560
06-Sep-01,2.195,2.15,2.15,75400
07-Sep-01,2.15,2.1575,2.15,49240
10-Sep-01,2.15,2.15,2.1575,53280
11-Sep-01,2.15,2.15,2.15,308500
12-Sep-01,2.08,1.8875,2.15,237560
13-Sep-01,1.925,1.8875,1.8875,71820
14-Sep-01,1.8875,1.605,1.8875,106140
17-Sep-01,1.5,1.365,1.605,294160
18-Sep-01,1.3475,1.6075,1.365,156860
19-Sep-01,1.605,1.7875,1.6075,150040
20-Sep-01,1.8,1.7275,1.7875,96520
21-Sep-01,1.7275,1.89,1.7275,341000
24-Sep-01,2.095,2,1.89,229800
25-Sep-01,2,2,2,171660
26-Sep-01,2.01,2.005,2,129120
27-Sep-01,2.01,2,2.005,69200
28-Sep-01,2.0225,2.0025,2,92780
01-Oct-01,2,2,2.0025,64280
03-Oct-01,2.0125,2,2,48620
04-Oct-01,2.0025,2.0025,2,47900
05-Oct-01,2,2.0175,2.0025,34780
08-Oct-01,1.9,2.005,2.0175,176340
09-Oct-01,2,2.025,2.005,66640
10-Oct-01,2,2.0425,2.025,38840
11-Oct-01,2.025,2.01,2.0425,39100
12-Oct-01,2,1.9375,2.01,42500
15-Oct-01,1.865,1.9,1.9375,114920
16-Oct-01,1.8525,1.99,1.9,60420
17-Oct-01,1.975,1.92,1.99,45580
18-Oct-01,1.91,1.9225,1.92,33220
19-Oct-01,1.9225,1.89,1.9225,65700
22-Oct-01,1.925,1.9575,1.89,97480
23-Oct-01,1.95,1.99,1.9575,59400
24-Oct-01,2,1.9625,1.99,25640
25-Oct-01,2.095,1.9975,1.9625,38800
29-Oct-01,2.0125,1.95,1.9975,38100
30-Oct-01,1.97,1.95,1.95,18100
31-Oct-01,1.95,1.9475,1.95,23000
01-Nov-01,1.925,1.9275,1.9475,14600
02-Nov-01,1.85,1.9125,1.9275,41840
05-Nov-01,1.9,1.955,1.9125,54760
06-Nov-01,1.95,1.95,1.955,140300
07-Nov-01,1.93,1.9325,1.95,40120
08-Nov-01,1.8825,1.9275,1.9325,132880
09-Nov-01,1.9575,1.97,1.9275,54300
12-Nov-01,1.9875,1.96,1.97,71680
13-Nov-01,1.95,1.9575,1.96,59360
14-Nov-01,2,2.04,1.9575,201460
15-Nov-01,2.39,2.4225,2.04,909260
19-Nov-01,2.5,2.625,2.4225,567880
20-Nov-01,2.63,2.5,2.625,264100
21-Nov-01,2.3175,2.5225,2.5,170140
22-Nov-01,2.55,2.565,2.5225,817040
23-Nov-01,2.74,2.5975,2.565,253480
26-Nov-01,2.6875,2.6,2.5975,206760
27-Nov-01,2.6,2.5225,2.6,212120
28-Nov-01,2.55,2.4075,2.5225,134100
